ticket_text,category,priority
Just curious what materials this product is made from.,Product,Low
"Hey, Can someone check why my invoice this month is higher than usual? It shows $250.00 instead of the normal amount.",Billing,Medium
"Hello, Is there a user community or forum for tips on using this product?",Product,Low
"Hi team, What's the process to permanently delete my account if I ever wanted to? Please advise.",Account,Low
"To whom it may concern, Major defect found, the item arrived damaged and leaking, I need an urgent replacement or refund.",Product,High
"Hi, What's the average lifespan of this product with normal use? Thank you.",Product,Low
"My account has been locked and I cannot access anything, I need this resolved immediately, I have an important deadline. Thank you.",Account,High
"Hello, The product doesn't quite match the description on the website, can you clarify the specifications?",Product,Medium
"Hi team, I think my account has been hacked, there are login attempts I don't recognize, please secure it right now. Looking forward to your response.",Account,High
"To whom it may concern, Production is down, we are getting a 500 error on every request since this morning, please help ASAP. Please advise.",Technical,High
"To whom it may concern, My order shows as lost in transit and I need it replaced immediately, this was time sensitive.",Shipping,High
I'm having trouble syncing my data between the mobile app and the desktop version.,Technical,Medium
"Hi team, I'm having trouble syncing my data between the mobile app and the desktop version. Thank you.",Technical,Medium
"Hello, What's the process to permanently delete my account if I ever wanted to? Looking forward to your response.",Account,Low
"Hi, I was charged twice for my subscription this month and need a refund immediately, this is unacceptable.",Billing,High
"Hi, I forgot my password and the reset link isn't arriving in my inbox, can you help?",Account,Medium
Can you help me merge two accounts I accidentally created? Thank you.,Account,Medium
"To whom it may concern, I need to add a second user to my account, how do I do that? Thank you.",Account,Medium
"My account has been locked and I cannot access anything, I need this resolved immediately, I have an important deadline. Thanks.",Account,High
"To whom it may concern, Can you recommend accessories that go well with this product? Please advise.",Product,Low
"Hey, Just curious what materials this product is made from. Thanks.",Product,Low
Just wondering when my next billing date is.,Billing,Low
"To whom it may concern, I noticed a charge of $45.00 on my statement that I don't recognize, can you explain what it's for?",Billing,Medium
"Hi team, Just wondering when my next billing date is. Thanks.",Billing,Low
"My order is delayed, can you give me an estimated new delivery date? Thanks.",Shipping,Medium
"Hi team, This is a safety issue, the device overheated and started smoking, please advise immediately.",Product,High
"To whom it may concern, I want to switch from monthly to annual billing, can you help me with that? Thanks.",Billing,Medium
"Hey, I was charged twice for my subscription this month and need a refund immediately, this is unacceptable. Please advise.",Billing,High
"To whom it may concern, The courier left my package outside in the rain and it's completely damaged, I need a resolution right away. Thank you.",Shipping,High
"Hi, Just wondering when my next billing date is. Looking forward to your response.",Billing,Low
"Hi team, I need to add a second user to my account, how do I do that? Thanks.",Account,Medium
"Hey, How do I change my display name on my profile? Thank you.",Account,Low
"Major defect found, the item arrived damaged and leaking, I need an urgent replacement or refund. Please advise.",Product,High
"I think my account has been hacked, there are login attempts I don't recognize, please secure it right now. Thanks.",Account,High
Could you send me a copy of last month's invoice for my records?,Billing,Low
